night_market_id,city,night_market,longitude,latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,status
322,臺南市,新營中華路夜市,120.1741356,22.98920011,1700–2330,,,1700–2330,,,,
323,臺南市,新進夜市,120.1741356,22.98920011,,,,1700–2300,,,1700–2300,
324,臺南市,鹽水夜市,141.1388278,39.1230245,,,1730–2230,,,,,
325,臺南市,長安夜市,121.5279078,25.0511959,,1700–2230,,,,,,
326,臺南市,白河夜市,120.4126154,23.3513045,,,,,,,1700–2200,
327,臺南市,白河中正夜市,135.7582354,35.0040166,,,,1700–2200,,,,
328,臺南市,柳營夜市,120.3083991,23.2791127,1700–2230,,,,,,,
329,臺南市,小腳腿夜市,,,1700–2200,,,,,,,
330,臺南市,果毅後夜市,117.2327447,31.8147883,,,1700–2200,,,,,
331,臺南市,東山夜市,120.2192399,22.98261109,1700–2230,,,1700–2230,,,,
332,臺南市,龍山夜市,117.2327447,31.8147883,,,1700–2130,,,,,
333,臺南市,南化夜市,120.2835895,23.1009927,,1700–2200,,,,,,
334,臺南市,楠西夜市,115.7280734,28.6402237,,,,,1700–2200,,,
335,臺南市,玉井夜市,119.114203,32.2071786,,,1600–2300,,,1600–2300,,
336,臺南市,山上夜市,117.2327447,31.8147883,1730–2230,,,,,,,
337,臺南市,大內夜市,120.2629789,23.01896761,,,1700–2230,,,1700–2230,,
338,臺南市,漚汪夜市,,,,,,,1600–2130,,,
339,臺南市,蚵寮夜市,135.8138619,34.9702941,,,,1730–2330,,,,
340,臺南市,北門夜市,135.7501274,35.0148633,,,,1700–2230,,,,
341,臺南市,三寮灣夜市,,,,,,,1700–2230,,,
342,高雄市,六合觀光夜市,120.3000477,22.6324136,1700–0200,1700–0200,1700–0200,1700–0200,1700–0200,1700–0200,1700–0200,
343,高雄市,南華夜市,135.7565522,35.0047265,1200–2200,1200–2200,1200–2200,1200–2200,1200–2200,1200–2200,1200–2200,
344,高雄市,前鎮夜市,120.3175184,22.58124,1630–0130,1630–0130,1630–0130,1630–0130,1630–0130,1630–0130,1630–0130,
345,高雄市,光華夜市,"120.3182190009009,120.3182190009009","22.6163637009009,22.617264601801804",1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,
346,高雄市,佛公夜市,120.3137068,22.6549829,,,1800–2100,,,,,
347,高雄市,德昌夜市,135.7565522,35.0047265,,1500–0000,,1500–0000,,,,
348,高雄市,崗山南夜市,117.1944915,36.6421611,1700–0000,,,,1700–0000,1700–0000,,
349,高雄市,苓雅夜市,135.7685934,34.9796406,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,
350,高雄市,忠孝夜市,120.3185348,22.610385,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,
351,高雄市,漢民夜市,,,,1800–0000,1800–0000,,1800–0000,1800–0000,1800–0000,
352,高雄市,二苓夜市,120.3463987,22.564856,,,,,1800–2230,,,
353,高雄市,桂林夜市,135.7565522,35.0047265,1800–2300,,,,,,,
354,高雄市,鋼平夜市,135.7557416,35.0035666,,,,,,1700–2200,,
355,高雄市,高松夜市,135.756109,35.0098602,,,,,,,,
356,高雄市,三民街夜市,120.29726,22.64192,1000–0000,1000–0000,1000–0000,1000–0000,1000–0000,1000–0000,1000–0000,
357,高雄市,吉林夜市,120.361164,22.5327041,1500–0100,1500–0100,1500–0100,1500–0100,1500–0100,1500–0100,1500–0100,
358,高雄市,鳳山中山路夜市,120.3477222,22.6252477,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,
359,高雄市,五甲夜市,120.3416964,22.5991575,1800–2300,1800–2300,1800–2300,1800–2300,1800–2300,1800–2300,1800–2300,
360,高雄市,興中夜市,120.3462608,22.5663187,1600–0130,1600–0130,1600–0130,1600–0130,1600–0130,1600–0130,1600–0130,
361,高雄市,三民街夜市,120.29726,22.64192,1000–0000,1000–0000,1000–0000,1000–0000,1000–0000,1000–0000,1000–0000,
362,高雄市,鳳山中山路夜市,120.3477222,22.6252477,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,
363,高雄市,海洋夜市,120.2898447,22.6879588,,,,1700–2300,,,,
364,高雄市,大明夜市,120.3419899,22.6062437,,1700–2330,,,,,,
365,高雄市,開漳聖王廟夜市,135.7565522,35.0047265,,1730–0000,,,,,,
366,高雄市,國光路夜市,120.3495148,22.6202944,1800–2200,,,,,,,
367,高雄市,中華街夜市,120.3562787,22.6279272,0800–0000,0800–0000,0800–0000,0800–0000,0800–0000,0800–0000,0800–0000,
368,高雄市,南光街夜市,135.7565522,35.0047265,,,,,,1800–2300,,
369,高雄市,會社88夜市,,,,,,,,0700–1700,0700–1700,
370,高雄市,翁公園迷你小夜市,,,,,1800–2200,,,,,
371,高雄市,林園夜市,120.3971654,22.5018805,,1800–2300,,,1800–2300,,,
372,高雄市,鳥松夜市,135.7455974,35.0243958,,1600–2230,,,,,,
373,高雄市,仁武夜市,135.7710755,34.968735,,1800–2300,,,1800–2300,,,
374,高雄市,仁雄夜市,120.3462608,22.5663187,,,,,,,1700–2300,
375,高雄市,後勁夜市,120.3117347,22.7200491,,,,,1700–0000,1700–0000,,
376,高雄市,楠都夜市,135.7464256,34.9766626,,,,,,,1800–2300,
377,高雄市,土庫夜市,120.3941072,23.67753356,,,,1600–0000,,,,
378,高雄市,大社夜市,135.760637,35.0304815,,,1700–2230,,,1700–2230,,
379,高雄市,旗山夜市,136.7800886,35.4568784,,1700–2200,,,,1700–2200,,
380,高雄市,美濃夜市,120.538376,22.9058222,,,,,1700–2330,,,
381,高雄市,橋頭星期一夜市,,,1800–2300,,,,,,,
382,高雄市,橋頭星期六夜市,,,,,,,,1800–2300,,
383,高雄市,蚵仔寮海邊夜市,,,,,,1730–2330,,,,
384,高雄市,智蚵夜市,120.3012914,22.7083228,,,,,,,1630–2230,
385,高雄市,五里林夜市,,,,,,1730–2300,,,,
386,高雄市,九甲圍夜市,,,,,,,1730–2300,,,
387,高雄市,岡山中山夜市,120.2983088,22.79503028,1700–0000,,,,1700–0000,1700–0000,,
388,高雄市,岡山後紅夜市,,,,,,1730–2200,,,,
389,高雄市,路竹夜市,120.2633848,22.85367453,,,1800–2330,,1800–2330,1800–2330,,
390,高雄市,燕巢夜市,135.7565522,35.0047265,,1700–2300,,,,1700–2300,,
391,高雄市,湖內大湖夜市,120.2268739,22.9074423,,,,1700–0000,,,1700–0000,
392,高雄市,湖內圍仔內夜市,,,,1645–2200,,,1645–2200,,,
393,高雄市,永安夜市,120.5432698,24.08927906,,1630–2100,,,,,,
394,高雄市,阿蓮夜市,,,,,,1630–2100,,,,
395,高雄市,茄萣夜市,135.7538858,34.9879537,,,,1700–2300,,,,
396,高雄市,大樹夜市,135.7679647,34.9912,,,1700–2230,,,,,
397,高雄市,九曲堂週二夜市,,,,1630–2230,,,,,,
398,高雄市,九曲堂週六夜市,,,,,,,,1700–2200,,
399,高雄市,瑞豐夜市,120.2993655,22.6662453,,1700–0000,,1700–0000,1700–0000,1700–0000,1700–0000,
400,高雄市,喜峰街夜市,120.3491713,22.6249609,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,1700–0100,
401,高雄市,駁二夜市,,,,,,,,1700–2300,,
402,高雄市,內惟夜市,120.2808644,22.66015012,,,1800–2330,,,,1800–2330,
403,高雄市,牛潮埔夜市,135.7565522,35.0047265,,,1700–2200,,,,,
404,高雄市,鳳山青年夜市,120.3527019,22.60970132,1800–2330,,,1800–2330,1800–2330,1800–2330,1800–2330,
405,高雄市,南江街夜市,135.7565522,35.0047265,,,,,,1800–2300,,
406,高雄市,橋頭菁埔廣場夜市,,,1800–2300,,,,,1800–2300,,
407,高雄市,湖內大廟夜市,135.7565522,35.0047265,,1645–2200,,,1645–2200,,,
408,屏東縣,墾丁大街,120.7989736,21.9450865,1730–2230,1730–2230,1730–2230,1730–2230,1730–2230,1730–2230,1730–2230,
409,屏東縣,恆春夜市,,,,,,,,,1800–0000,
410,屏東縣,潮州愛國夜市,,,1600–0000,,,,1600–0000,,,
411,屏東縣,潮州中洲夜市,,,1700–0000,,,,1700–0000,,,
412,屏東縣,潮州愛國夜市,,,1600–0000,,,,1600–0000,,,
413,屏東縣,萬丹夜市,120.4902556,22.59343634,,,,,,,1800–2330,
414,屏東縣,社皮夜市,120.4722868,22.61617248,,,1800–2300,,,,,
415,屏東縣,新庄夜市,113.2094805,33.7795245,,,,,1700–2200,,,
416,屏東縣,新園夜市,135.748799,35.0120837,,,,,1730–0000,,1730–0000,
417,屏東縣,東港夜市,"120.4596637018018,120.4587628009009,120.4587628009009","22.469413401801805,22.47121520360361,22.47211610450451",,,1700–0000,,,1700–0000,,
418,屏東縣,高樹夜市,133.4105629,34.5031986,,,1700–0100,,,1700–0100,,
419,屏東縣,水底寮夜市,,,,,,1800–2300,,,,
420,屏東縣,林邊夜市,136.767994,35.416946,,,,,1700–0000,,,
421,屏東縣,繁華夜市,139.6351435,35.4759465,1700–2200,,,,,,,
422,屏東縣,里港夜市,137.0212242,36.7465904,,,,1700–2230,,,1700–2230,
423,屏東縣,石光見夜市,116.8829159,23.736172,,,,,,1700–2200,,
424,屏東縣,鹽埔夜市,137.016371,36.7460477,,,,,1700–2200,,,
425,屏東縣,新圍夜市,116.6196118,40.3150227,,,,,1700–2200,,,
426,屏東縣,長治夜市,135.1280753,34.647402,,1700–2130,,1700–2130,,,,
427,屏東縣,西勢夜市,120.4583409,22.6458633,,,1500–2330,,,1500–2330,,
428,屏東縣,水門夜市,135.5637963,34.6868085,,,,,,1730–2230,,
429,屏東縣,隘寮夜市,132.778629,33.849562,,1600–2330,,,,,,
430,屏東縣,九如夜市,,,1700–2300,,,,1700–2300,,,
431,屏東縣,西勢夜市,120.4583409,22.6458633,,,1500–2330,,,1500–2330,,
432,屏東縣,水門夜市,135.5637963,34.6868085,,,,,,1730–2230,,
433,屏東縣,隘寮夜市,132.778629,33.849562,,1600–2330,,,,,,
434,屏東縣,龍泉夜市,136.9833855,35.2199444,,,,,,,1700–2230,
435,屏東縣,老埤夜市,,,,1700–2130,,,,,,
436,屏東縣,楓港夜市,112.1980548,22.6961537,,,,,1800–2100,,,
437,屏東縣,餉潭夜市,139.9197464,35.7145034,,1600–2200,,,1600–2200,,,
438,屏東縣,七佳夜市,,,1700–2200,,,,,,,
439,屏東縣,望嘉夜市,116.6241237,40.3332266,,,,,1700–2200,,,
440,屏東縣,佳佐夜市,130.3015428,33.3070178,,,1630–2130,,,,,
441,屏東縣,麟洛夜市,,,,,,1700–2100,,,,
442,屏東縣,竹田夜市,,,,,1500–2330,,,1500–2330,,
443,屏東縣,萬巒夜市,,,,,,,1800–2300,,,
444,屏東縣,內埔夜市,,,,,,,,1730–223,,
445,花蓮縣,花蓮東大門國際觀光夜市,,,1730–2230,1730–2230,1730–2230,1730–2230,1730–2230,1730–2230,1730–2230,
446,花蓮縣,北埔廟口夜市,,,1700–2230,1700–2230,1700–2230,1700–2230,1700–2230,1700–2230,1700–2230,
447,花蓮縣,崇德夜市,,,1800–2200,,,,,,,
448,花蓮縣,富里夜市,121.0922575,24.9327485,1800–2130,,,,,,,
449,花蓮縣,北埔夜市,135.7379567,34.984768,1800–2230,,,1800–2230,,,,
450,花蓮縣,南埔夜市,121.591631,23.96099528,,1800–2200,,,,,,
451,花蓮縣,瑞穗夜市,,,,1800–2200,,,,,,
452,花蓮縣,壽豐夜市,,,,,1700–0000,,,,,
453,花蓮縣,志學夜市,119.0933833,29.116411,,,1800–2230,1800–2230,,,,
454,花蓮縣,太昌夜市,121.6407665,23.9985742,,,,1800–2230,,,,
455,花蓮縣,富源夜市,137.345798,36.770324,,,,1800–2130,,,,
456,花蓮縣,新城夜市,115.9976464,28.5485654,,,,,1800–2300,,1800–2300,
457,花蓮縣,玉里夜市,113.3795027,33.615171,,,,,1800–2200,,,
458,花蓮縣,林榮夜市,,,,,,,1800–2200,,,
459,花蓮縣,美崙夜市,121.6286409,24.0141806,,,,,,1800–2230,,
460,花蓮縣,鳳林夜市,121.4505886,23.74584333,,,,,,1800–2230,,
461,花蓮縣,光復夜市,139.6364375,35.4484915,,,,,,,1800–2230,
462,花蓮縣,豐濱夜市,,,,,,,,,1800–2130,
463,花蓮縣,太魯閣夜市,,,,,1800–2200,,,,,
464,臺東縣,臺東觀光夜市,121.1477886,22.7562893,,,1800–2300,1800–2300,1800–2300,1800–2300,,
465,臺東縣,四維夜市,121.15606,22.75764,,,,,,,1800–0000,
466,臺東縣,知本夜市,140.8837094,38.2610639,,,,,1730–2230,,,
467,臺東縣,太平夜市,116.6339219,40.3236154,,,,,,1800–2200,,
468,臺東縣,太麻里夜市,,,,1800–2200,,,,,,
469,臺東縣,金崙夜市,139.6282614,35.4403288,,,,,,1800–2200,,
470,臺東縣,大武夜市,134.238765,35.4979949,,,1800–2130,,,,,
471,臺東縣,池上夜市,121.2202921,23.1241045,,,1800–2200,,,1800–2200,,
472,臺東縣,關山夜市,135.7835779,34.9349499,,,,1800–2200,,,,
473,臺東縣,長濱夜市,120.3944052,24.0617836,,1800–2100,,,,,,
474,臺東縣,桃源夜市,121.2421421,24.9828995,,,,1800–2100,,,,
475,臺東縣,新港夜市,119.8998671,32.2405319,1800–2200,,,1800–2200,,,,
476,臺東縣,東清夜市,121.5651961,22.0577834,1830–2200,1830–2200,1830–2200,1830–2200,1830–2200,1830–2200,1830–2200,
477,澎湖縣,西文祖師廟夜市,135.7709473,35.0105121,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,
478,澎湖縣,北甲宮夜市,135.7515089,35.0166427,1600–2359,1600–2359,1600–2359,1600–2359,1600–2359,1600–2359,1600–2359,
479,澎湖縣,馬公夜市,,,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,
480,金門縣,金門體育館夜市,,,,,,,,,,不定期
481,金門縣,金門救國團夜市,130.3162056,33.3301674,,,,,,,,不定期
482,連江縣,馬港觀光夜市,,,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,
